"","UMAP_1","UMAP_2","clust","Condition","prot","ins1","Gcg","ins2","id","Raw.file","celltype","channel","Cell_type"
"629",2.51957154928233,0.853253671104002,"2","wt",-2.8358945506794,1.05062655368692,-2.8358945506794,-0.578544657824784,"i701","XwAL00359","wt","Reporter.intensity.17","Beta 1"
"630",1.20813036619212,5.56156570571094,"7","ko",-0.0743516086511555,-0.0159460095009969,-0.0743516086511555,-0.312672328015712,"i707","XwAL00361","ko","Reporter.intensity.5","Beta 1"
"631",-1.5314478808782,-2.96952598435254,"3","ko",-0.60044095426072,1.02153328947571,-0.60044095426072,-0.0440049152351461,"i708","XwAL00361","ko","Reporter.intensity.6","Beta 1"
"632",1.93074298559214,-0.115456214970064,"2","ko",-0.786806835493019,1.02054580394907,-0.786806835493019,-0.259429936960398,"i709","XwAL00361","ko","Reporter.intensity.7","Beta 1"
"633",3.28169942556406,2.14681703704028,"3","ko",-0.131884335418243,0.07046068415741,-0.131884335418243,NA,"i71","XwAL00316","ko","Reporter.intensity.17","Beta 1"
"634",2.36739779172923,1.19570762770801,"2","ko",-1.83041418521518,1.5449108335114,-1.83041418521518,-0.379118846030237,"i710","XwAL00361","ko","Reporter.intensity.8","Beta 1"
"635",-4.44299744905447,-1.73300938946576,"6","wt",1.10950720438698,0.0157098544929063,1.10950720438698,NA,"i711","XwAL00361","wt","Reporter.intensity.9","Beta 1"
"636",-3.02904605211233,-1.5847488556561,"5","wt",0.861561450515969,-0.634758134002282,0.861561450515969,0.291253924895565,"i712","XwAL00361","wt","Reporter.intensity.10","Beta 1"
"637",-0.899490156187759,3.26580865042834,"1","wt",-0.328854865696438,0.227273423060096,-0.328854865696438,0.168451007286032,"i713","XwAL00361","wt","Reporter.intensity.11","Beta 1"
"638",8.72261453329112,-1.3615022216496,"0","wt",0.386148310300506,-1.66707233384386,0.386148310300506,NA,"i714","XwAL00361","wt","Reporter.intensity.12","Beta 2"
"639",-1.92374729455923,-7.92929284912915,"8","wt",0.0659036611304408,-2.2160920301419,0.0659036611304408,-1.37895633512192,"i715","XwAL00361","wt","Reporter.intensity.13","Vasculature"
"640",-0.243879073276267,-2.60310380799146,"2","wt",-0.0218881472797152,-0.205222412063542,-0.0218881472797152,NA,"i716","XwAL00361","wt","Reporter.intensity.14","Beta 1"
"641",-3.52530931772207,-3.70701616150708,"3","wt",-0.0205571437945018,-0.477135485214144,-0.0205571437945018,-0.26425256496209,"i717","XwAL00361","wt","Reporter.intensity.15","Beta 1"
"642",-0.0587871009251931,5.98553640502124,"1","ko",0.720527213096065,0.510794261441112,0.720527213096065,-0.221467656343611,"i718","XwAL00361","ko","Reporter.intensity.16","Beta 1"
"643",-0.26842572630857,4.57870561736255,"1","ko",-0.247382663990727,0.590698254852501,-0.247382663990727,2.88524421647387,"i719","XwAL00361","ko","Reporter.intensity.17","Beta 1"
"644",1.17279148756052,3.3663004125896,"2","ko",-0.0795375321085389,0.825865402356293,-0.0795375321085389,NA,"i72","XwAL00316","ko","Reporter.intensity.18","Beta 1"
"645",-3.38715624155019,2.58265216010242,"1","ko",0.875960334545355,0.586926180546675,0.875960334545355,-0.474437743540284,"i720","XwAL00361","ko","Reporter.intensity.18","Beta 1"
"646",1.52997589765574,-0.666543512469244,"2","ko",-0.461263788320742,0.0900647659144323,-0.461263788320742,0.312753437602632,"i725","XwAL00362","ko","Reporter.intensity.5","Beta 1"
"647",1.53188992200877,2.74269873755603,"1","ko",-1.42226539670018,1.30865019047017,-1.42226539670018,-0.0353196224070097,"i726","XwAL00362","ko","Reporter.intensity.6","Beta 1"
"648",-2.76392268480276,-6.64622896057935,"9","ko",0.905123692080349,-1.51813164045486,0.905123692080349,-0.580441516960312,"i727","XwAL00362","ko","Reporter.intensity.7","Delta"
"649",-3.32353448213552,-1.85046475273938,"5","wt",1.95247816276644,-0.124035957681357,1.95247816276644,0.250056529958017,"i728","XwAL00362","wt","Reporter.intensity.8","Beta 1"
"650",-3.66728448213552,2.22927076476245,"6","wt",-1.37328796695768,-0.302054682197268,-1.37328796695768,-1.13196334603995,"i729","XwAL00362","wt","Reporter.intensity.9","Beta 1"
"651",1.89680100141551,4.1329167570415,"7","wt",-1.51424540801252,-0.115908710247746,-1.51424540801252,NA,"i730","XwAL00362","wt","Reporter.intensity.10","Beta 1"
"652",-2.31456040681814,-7.3004009042439,"8","wt",0.421242503100086,-0.0304136141054784,0.421242503100086,0.140916488187599,"i731","XwAL00362","wt","Reporter.intensity.11","Vasculature"
"653",0.00600696264292211,1.02713293688922,"2","wt",1.14251519623865,0.405212251732284,1.14251519623865,-0.547630703184688,"i732","XwAL00362","wt","Reporter.intensity.12","Beta 1"
"654",-4.01544474901174,-0.6260025155303,"5","wt",-1.21407507663669,-1.69638348963761,-1.21407507663669,NA,"i733","XwAL00362","wt","Reporter.intensity.13","Beta 1"
"655",-0.130653076781974,4.17562229293017,"1","ko",1.95924977310693,0.709639039816886,1.95924977310693,-0.26146390889425,"i735","XwAL00362","ko","Reporter.intensity.15","Beta 1"
"656",7.46200681386973,-0.118237546509218,"0","ko",-0.4091263878295,0.692144513890494,-0.4091263878295,1.37034229040152,"i736","XwAL00362","ko","Reporter.intensity.16","Beta 2"
"657",5.39160896001841,1.04447323935657,"0","ko",0.0164139503792448,0.749622637402175,0.0164139503792448,0.192019346457906,"i738","XwAL00362","ko","Reporter.intensity.18","Beta 2"
"658",-0.0595475965878823,4.84758169310718,"1","ko",0.0883887535526237,0.0474023371048206,0.0883887535526237,0.736247900165428,"i743","XwAL00363","ko","Reporter.intensity.5","Beta 1"
"659",-1.30439948381399,-3.7010983739552,"3","wt",0.527812341518462,0.773466444083587,0.527812341518462,-0.0506383511207908,"i745","XwAL00363","wt","Reporter.intensity.7","Beta 1"
"660",1.77060366331126,4.43212206023364,"7","wt",-0.208315950107258,0.352028087651302,-0.208315950107258,-0.363285289545991,"i746","XwAL00363","wt","Reporter.intensity.8","Beta 1"
"661",8.18476796804453,0.128751644069243,"0","wt",-0.0494620374933974,-1.68464956276355,-0.0494620374933974,0.357259717929401,"i748","XwAL00363","wt","Reporter.intensity.10","Beta 2"
"662",2.76837611852671,1.77730900900989,"5","wt",0.433812007976826,-0.379845321672378,0.433812007976826,NA,"i749","XwAL00363","wt","Reporter.intensity.11","Beta 1"
"663",-4.48839330018972,-0.798446110313844,"5","wt",0.511371131125328,-0.956183697092127,0.511371131125328,-0.138899166342403,"i750","XwAL00363","wt","Reporter.intensity.12","Beta 1"
"664",1.22348440347697,2.85356504576831,"5","wt",-0.162260293070163,0.0171524483928527,-0.162260293070163,0.26730182392994,"i751","XwAL00363","wt","Reporter.intensity.13","Beta 1"
"665",-2.69012498201345,-7.50141971451612,"9","ko",0.00497850964675641,0.0701491213992327,0.00497850964675641,-0.548177638189021,"i752","XwAL00363","ko","Reporter.intensity.14","Delta"
"666",2.08769798933054,0.623126574927855,"2","ko",-0.00748105406043504,1.60806405390243,-0.00748105406043504,-0.355050651105221,"i753","XwAL00363","ko","Reporter.intensity.15","Beta 1"
"667",-2.53232406915639,-2.56987099987836,"3","ko",0.18218084952835,0.413189453482924,0.18218084952835,-0.15530117869149,"i754","XwAL00363","ko","Reporter.intensity.16","Beta 1"
"668",-1.95375775636648,-8.7180091653523,"8","ko",-1.49039763785739,-0.187694147763153,-1.49039763785739,-0.0761227997235897,"i755","XwAL00363","ko","Reporter.intensity.17","Vasculature"
"669",1.23016787229563,3.81660349028735,"7","ko",0.230506060208796,0.153699515930301,0.230506060208796,0.275711865064459,"i756","XwAL00363","ko","Reporter.intensity.18","Beta 1"
"670",-3.30370163263296,-0.384666225737047,"5","wt",-0.828874861291432,-0.481376085994235,-0.828874861291432,0.0399910090399384,"i762","XwAL00364","wt","Reporter.intensity.6","Beta 1"
"671",-0.236239963187919,-1.85549884182782,"2","wt",0.163432117199764,0.171674450847922,0.163432117199764,-0.0490182776430403,"i763","XwAL00364","wt","Reporter.intensity.7","Beta 1"
"672",-3.59525417627309,0.787273355895567,"5","wt",0.206030890547389,-0.984060494533802,0.206030890547389,-0.0358929480771269,"i764","XwAL00364","wt","Reporter.intensity.8","Beta 1"
"673",-1.91974531949972,-1.32791101080747,"3","wt",0.201895576430316,-0.576999122564358,0.201895576430316,-0.571145670355997,"i765","XwAL00364","wt","Reporter.intensity.9","Beta 1"
"674",-2.03077959360097,1.65827328818469,"6","wt",0.147252431495037,0.00412941145276311,0.147252431495037,-0.637186391007772,"i766","XwAL00364","wt","Reporter.intensity.10","Beta 1"
"675",7.66998792348887,0.550630279952574,"0","wt",-0.973472163868257,-1.10168182628176,-0.973472163868257,0.760435205306868,"i767","XwAL00364","wt","Reporter.intensity.11","Beta 2"
"676",-4.01751756013845,0.844436475211668,"5","wt",0.785323451594399,-0.748925742431288,0.785323451594399,-0.417182116881462,"i768","XwAL00364","wt","Reporter.intensity.12","Beta 1"
"677",0.577873832569375,-0.890333524769258,"2","ko",0.00313847199716345,1.4333675836315,0.00313847199716345,-0.642261014967489,"i769","XwAL00364","ko","Reporter.intensity.13","Beta 1"
"678",8.45595575033213,-1.34124272209973,"0","ko",0.16850549454388,-0.651995218528847,0.16850549454388,-0.178868199827846,"i77","XwAL00317","ko","Reporter.intensity.5","Beta 2"
"679",8.32991433797862,-1.00440426809163,"0","ko",-0.649952290105342,-0.16209444410277,-0.649952290105342,-0.0747764533454646,"i770","XwAL00364","ko","Reporter.intensity.14","Beta 2"
"680",-0.697367168008433,0.770564624244261,"4","ko",0.28338611289274,0.609885316250185,0.28338611289274,0.518593264455158,"i771","XwAL00364","ko","Reporter.intensity.15","Beta 1"
"681",-1.8717490369222,1.91169626372485,"4","ko",0.533117685531752,0.239948273445688,0.533117685531752,0.171734518026076,"i772","XwAL00364","ko","Reporter.intensity.16","Beta 1"
"682",0.349299437389626,3.7482035841289,"5","ko",0.7159447815287,0.659433915509081,0.7159447815287,-0.178349024850713,"i773","XwAL00364","ko","Reporter.intensity.17","Beta 1"
"683",7.46461129842783,-0.248838147943926,"0","ko",-0.679160591842005,0.796040949914309,-0.679160591842005,0.996696766479286,"i774","XwAL00364","ko","Reporter.intensity.18","Beta 2"
"684",-2.70869516672109,-9.08985441071362,"8","wt",-0.13032406710205,-0.821267045523295,-0.13032406710205,-0.474912846630385,"i779","XwAL00365","wt","Reporter.intensity.5","Vasculature"
"685",-1.97543060125326,4.67536050933032,"1","ko",-0.28825676629987,0.319621257539163,-0.28825676629987,-0.178721939456251,"i78","XwAL00317","ko","Reporter.intensity.6","Beta 1"
"686",-2.88703154863332,-6.6491238389668,"9","wt",5.19855427151322,-2.83046919212954,5.19855427151322,-0.270926426138323,"i780","XwAL00365","wt","Reporter.intensity.6","Delta"
"687",-0.972886108770118,0.889698573524046,"4","wt",0.332172504563471,0.0959255958390482,0.332172504563471,0.634348063548899,"i781","XwAL00365","wt","Reporter.intensity.7","Beta 1"
"688",-4.47716640771841,-0.702983370846224,"5","wt",2.13797682695341,-0.878642913139921,2.13797682695341,-0.0417696938557636,"i782","XwAL00365","wt","Reporter.intensity.8","Beta 1"
"689",-2.35650920213674,-2.59696047646375,"3","wt",0.557351301745641,-0.195777111510498,0.557351301745641,-0.119428433412833,"i783","XwAL00365","wt","Reporter.intensity.9","Beta 1"
"690",1.59471083341624,2.95452553885608,"5","wt",-2.05134567655942,-0.161876584138143,-2.05134567655942,-0.257825812787651,"i784","XwAL00365","wt","Reporter.intensity.10","Beta 1"
"691",0.967632538662209,1.41912109511523,"5","wt",-0.683568475251096,0.222882847008746,-0.683568475251096,0.505481389724577,"i785","XwAL00365","wt","Reporter.intensity.11","Beta 1"
"692",0.288977569923653,2.2414315428081,"2","ko",-2.45330479241364,1.11840908635607,-2.45330479241364,0.228988761991007,"i786","XwAL00365","ko","Reporter.intensity.12","Beta 1"
